GX304-1_55058,3-5keV,5-12keV,12-20keV
# GX 304-1,Ver 4,2013-2-22,unit:crab,created by Takagi,,
#MJD,3-5keV,error,5-12keV,error,12-20keV,error
#date,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2
55346.514445,-0.0011236,0.00205993,-0.000115473,0.00415704,-0.0174888,0.0156951
55347.498245,0.00318352,0.00224719,0.00473441,0.00427252,0.00627803,0.0165919
55348.482240,-0.00177903,0.00205993,0.00692841,0.00415704,-0.0197309,0.0165919
55349.497615,0.00393258,0.00215356,0.00254042,0.0039261,0.0125561,0.0156951
55350.513170,-0.000561798,0.00215356,0.0073903,0.00438799,-0.0147982,0.0161435
55351.496930,0.000655431,0.00196629,-0.00254042,0.00415704,-0.00313901,0.0156951
55352.258880,0.00486891,0.00271536,0.00150115,0.0051963,-0.00358744,0.0192825
55353.689270,-0.0011236,0.00243446,0.0056582,0.0051963,-0.00807175,0.0197309
55354.514030,0.000374532,0.00196629,0.000808314,0.00404157,0.00224215,0.0161435
55355.499685,-0.00252809,0.00205993,0.00415704,0.00438799,-0.0224215,0.0179372
55356.487390,0.00224719,0.00215356,0.00842956,0.00427252,-0.0156951,0.0170404
55357.505125,0.0011236,0.00205993,-0.00034642,0.00404157,-0.0174888,0.0161435
55358.522830,0.00262172,0.00224719,-0.00288684,0.00461894,0.0197309,0.0188341
55359.508715,0.00215356,0.00205993,0.00773672,0.00461894,-0.00179372,0.0179372
55360.494585,-0.000374532,0.00215356,0.00404157,0.00473441,0.00358744,0.0188341
55361.512230,-0.000842697,0.00205993,-0.00034642,0.00473441,0.00403587,0.0192825
55362.498045,0.00458801,0.00252809,0.00669746,0.00577367,-0.0452915,0.0224215
55363.483830,0.00243446,0.00252809,0.00692841,0.0051963,-0.00672646,0.0215247
55364.501360,0.00205993,0.00355805,-0.00184758,0.00773672,0.0112108,0.0327354
55365.805115,0.00290262,0.00337079,0.00484988,0.00715935,0.0390135,0.0336323
55366.790805,0.00814607,0.00411985,-0.00277136,0.00808314,0.0206278,0.0349776
55367.776510,0,0.00365169,0.00323326,0.00808314,0.00403587,0.0345291
55368.762170,0.00505618,0.00383895,-0.00288684,0.00889145,-0.0695067,0.0372197
55369.716015,-0.000655431,0.00496255,-0.00496536,0.0105081,-0.00179372,0.0475336
55370.733375,0.00383895,0.00477528,-0.00242494,0.00900693,0.0304933,0.0376682
55371.687315,-0.00365169,0.00524345,0.0095843,0.0125866,0.00179372,0.0569507
55374.643565,-0.00318352,0.00655431,0.00531178,0.0142032,-0.0704036,0.0533632
55375.658540,-0.00252809,0.00430712,0.000923788,0.00842956,-0.00493274,0.0340807
55376.613890,-0.000468165,0.00477528,0.00866051,0.0112009,0.0152466,0.0439462
55377.599035,-9.3633e-05,0.00477528,0.00230947,0.0103926,0.00269058,0.0390135
55378.584155,-0.00280899,0.00543071,0.00196305,0.01097,-0.0058296,0.044843
